element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,8,"=""""","=""""","=""1388""","=""6""","=""""","=""5.1e+06""",C,"=""[1637460]""","=""[1644664]""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""1/2""",,"=""T7495""","=""""",
Ne,1,"=""1390.8173""","=""0.0003""","=""1390.8173""","=""0.0003""","=""5""","=""""",,"=""162517.8755""","=""169705.9275""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""",,"=""""","=""L9097""",
Ne,1,"=""1397.0972""","=""0.0005""","=""1397.0971""","=""0.0003""","=""3""","=""""",,"=""163401.3061""","=""170557.0484""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
Ne,1,"=""1401.2921""","=""0.0005""","=""1401.2920""","=""0.0003""","=""4""","=""""",,"=""162408.6535""","=""169542.9742""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[7/2]""","=""3""",,"=""""","=""L9097""",
Ne,1,"=""1401.5900""","=""0.0006""","=""1401.5901""","=""0.0003""","=""6""","=""""",,"=""162410.1736""","=""169542.9772""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[7/2]""","=""4""",,"=""""","=""L9097""",
Ne,1,"=""1404.3107""","=""0.0003""","=""1404.3107""","=""0.0003""","=""9""","=""""",,"=""162419.9818""","=""169538.9668""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L9097""",
Ne,1,"=""1407.4110""","=""0.0004""","=""1407.4113""","=""0.0003""","=""5""","=""""",,"=""162435.6780""","=""169538.9794""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L9097""",
Ne,2,"=""1418.9578""","=""0.0006""","=""1418.9586""","=""0.0003""","=""20""","=""""",,"=""276276.8361""","=""283322.3319""","=""2s2.2p4.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).4s""","=""2P""","=""3/2""",,"=""""","=""L11301""",
Ne,1,"=""1428.3603""","=""0.0011""","=""1428.3607""","=""0.0003""","=""7""","=""8.51e+04""",C+,"=""162517.8755""","=""169516.9948""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""1430.08338""","=""0.00016""","=""1430.0836""","=""0.0003""","=""130""","=""1.10e+06""",B,"=""162517.8755""","=""169508.5627""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1434.21609""","=""0.00016""","=""1434.2163""","=""0.0003""","=""120""","=""1.71e+06""",C+,"=""162517.8755""","=""169488.4193""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""1435.33494""","=""0.00016""","=""1435.3350""","=""0.0003""","=""51""","=""2.13e+06""",C+,"=""162517.8755""","=""169482.9862""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",,"=""T6976""","=""L9097""",
Ne,1,"=""1438.4113""","=""0.0005""","=""1438.4117""","=""0.0003""","=""5""","=""5.8e+04""",C,"=""161636.6175""","=""168586.8304""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""",,"=""T6976""","=""L9097""",
Ne,1,"=""1449.99217""","=""0.00018""","=""1449.9923""","=""0.0003""","=""18""","=""3.55e+05""",C+,"=""163401.3061""","=""170296.0099""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""1492.98061""","=""0.00017""","=""1492.9808""","=""0.0003""","=""110""","=""7.14e+05""",B,"=""162830.7073""","=""169526.8869""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",,"=""T6976""","=""L9097""",
Ne,1,"=""1493.1183""","=""0.0003""","=""1493.1182""","=""0.0003""","=""7""","=""5.22e+04""",C+,"=""162830.7073""","=""169526.2708""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1497.0774""","=""0.0002""","=""1497.0776""","=""0.0003""","=""15""","=""1.14e+05""",C+,"=""162830.7073""","=""169508.5627""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1498.4854""","=""0.0002""","=""1498.4853""","=""0.0003""","=""22""","=""1.25e+05""",C+,"=""162830.7073""","=""169502.2893""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",,"=""T6976""","=""L9097""",
Ne,1,"=""1498.63193""","=""0.00016""","=""1498.6322""","=""0.0003""","=""530""","=""2.46e+06""",B+,"=""162830.7073""","=""169501.6353""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""",,"=""T6976""","=""L9097""",
Ne,1,"=""1505.89894""","=""0.00020""","=""1505.8990""","=""0.0003""","=""19""","=""3.48e+05""",C+,"=""163657.2726""","=""170296.0099""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""1507.41688""","=""0.00017""","=""1507.4171""","=""0.0004""","=""140""","=""1.60e+06""",B,"=""163657.2726""","=""170289.3243""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1507.50431""","=""0.00017""","=""1507.5041""","=""0.0003""","=""48""","=""5.73e+05""",C+,"=""163657.2726""","=""170288.9415""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,2,"=""1507.8160""","=""0.0012""","=""1507.8160""","=""0.0003""","=""9""","=""""",,"=""307069.8080""","=""313700.1049""","=""2s2.2p4.(3P).5p""","=""4P*""","=""3/2""","=""2s2.2p4.(3P).6s""","=""4P""","=""1/2""",,"=""""","=""L11301""",
Ne,1,"=""1508.3912""","=""0.0009""","=""1508.3909""","=""0.0003""","=""4""","=""2.12e+04""",C+,"=""162899.1169""","=""169526.8869""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",,"=""T6976""","=""L9097""",
Ne,1,"=""1508.53103""","=""0.00017""","=""1508.5311""","=""0.0003""","=""94""","=""8.20e+05""",C+,"=""162899.1169""","=""169526.2708""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1510.6454""","=""0.0002""","=""1510.6456""","=""0.0003""","=""13""","=""1.63e+05""",C+,"=""162899.1169""","=""169516.9948""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""1512.5728""","=""0.0005""","=""1512.5728""","=""0.0003""","=""5""","=""3.42e+04""",C+,"=""162899.1169""","=""169508.5627""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1514.00981""","=""0.00017""","=""1514.0098""","=""0.0003""","=""350""","=""2.09e+06""",B+,"=""162899.1169""","=""169502.2893""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",,"=""T6976""","=""L9097""",
